Index,School Name
1,A.Y. JACKSON SEC. SCHOOL
2,ADAM BECK PUBLIC SCHOOL
3,AFRICENTRIC ALTERNATIVE SCHOOL
4,AGINCOURT COLL. INSTITUTE
5,AGINCOURT PUBLIC SCHOOL
6,AGNES MACPHAIL PUBLIC SCHOOL
7,ALBERT CAMPBELL C. I.
8,ALBION HEIGHTS JR./M.S
9,ALEXANDER MUIR/GLADSTONE AVE
10,ALEXANDER STIRLING P. S.
11,ALEXMUIR PUBLIC SCHOOL
12,ALLENBY PUBLIC SCHOOL
13,ALPHA ALTERNATIVE JUNIOR SCHOOL
14,Alpha II Alternative (ELE) School
15,ALPHA II Alternative Secondary School
16,ALT.SCARB.ED(ASE1)
17,Alvin Curling Public School
18,AMESBURY MIDDLE SCHOOL
19,ANCASTER PUBLIC SCHOOL
20,ANNETTE STREET PUBLIC SCHOOL
21,ANSON PARK PUBLIC SCHOOL
22,ANSON S TAYLOR PUBLIC SCHOOL
23,ARBOR GLEN PUBLIC SCHOOL
24,ARMOUR HEIGHTS PUBLIC SCHOOL
25,AVONDALE  (SEC.) ALTERNATIVE
26,AVONDALE (ELEM.) ALTERNATIVE
27,AVONDALE PUBLIC SCHOOL
28,BALA AVENUE COMMUNITY SCHOOL
29,BALMY BEACH COMMUNITY SCHOOL
30,BANTING & BEST PUBLIC SCHOOL
31,BAYCREST PUBLIC SCHOOL
32,BAYVIEW MIDDLE SCHOOL
33,BEACHES ALTERNATIVE SCHOOL
34,BEAUMONDE HEIGHTS JR./M.S.
35,BEDFORD PARK PUBLIC SCHOOL
36,BELLMERE PUBLIC SCHOOL
37,BENDALE PUBLIC SCHOOL
38,BENNINGTON HEIGHTS P. S.
39,BERNER TRAIL PUBLIC SCHOOL
40,BESSBOROUGH DR. ELEM./MIDDLE
41,BEVERLEY HTS. MIDDLE SCHOOL
42,BEVERLEY PUBLIC SCHOOL
43,BEVERLY GLEN PUBLIC SCHOOL
44,BIRCH CLIFF HEIGHTS P. S.
45,BIRCH CLIFF PUBLIC SCHOOL
46,BIRCHMOUNT PARK C. I.
47,BLACKSMITH PUBLIC SCHOOL
